SubID,SubRole,Phase,Session,Block,IsNavigation,Timestamp,Raw_x,Raw_y,Pos_x,Pos_y,Frame
001,A,1,1,1,1,27650.5727926,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,1
002,B,1,1,1,0,27650.5728208,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,2
001,A,1,1,1,1,27650.6976664,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,3
002,B,1,1,1,0,27650.6976849,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,4
001,A,1,1,1,1,27650.7981589,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,5
002,B,1,1,1,0,27650.7981778,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,6
001,A,1,1,1,1,27650.8519553,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,7
002,B,1,1,1,0,27650.8519805,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,8
001,A,1,1,1,1,27650.9000791,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,9
002,B,1,1,1,0,27650.9000986,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,10
001,A,1,1,1,1,27650.9505587,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,11
002,B,1,1,1,0,27650.9505771,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,12
001,A,1,1,1,1,27651.0007728,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,13
002,B,1,1,1,0,27651.0007916,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,14
001,A,1,1,1,1,27651.0505379,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,15
002,B,1,1,1,0,27651.0505566,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,16
001,A,1,1,1,1,27651.1000579,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,17
002,B,1,1,1,0,27651.1000766,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,18
001,A,1,1,1,1,27651.1500957,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,19
002,B,1,1,1,0,27651.1501146,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,20
001,A,1,1,1,1,27651.2000412,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,21
002,B,1,1,1,0,27651.2000584,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,22
001,A,1,1,1,1,27651.2502129,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,23
002,B,1,1,1,0,27651.2502308,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,24
001,A,1,1,1,1,27651.302455,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,25
002,B,1,1,1,0,27651.30248,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,26
001,A,1,1,1,1,27651.3501018,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,27
002,B,1,1,1,0,27651.3501195,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,28
001,A,1,1,1,1,27651.3998508,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,29
002,B,1,1,1,0,27651.3998687,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,30
001,A,1,1,1,1,27651.4499459,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,31
002,B,1,1,1,0,27651.4499642,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,32
001,A,1,1,1,1,27651.4999786,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,33
002,B,1,1,1,0,27651.4999972,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,34
001,A,1,1,1,1,27651.5515849,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,35
002,B,1,1,1,0,27651.5516032,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,36
001,A,1,1,1,1,27651.6003501,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,37
002,B,1,1,1,0,27651.6003694,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,38
001,A,1,1,1,1,27651.649965,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,39
002,B,1,1,1,0,27651.6499833,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,40
001,A,1,1,1,1,27651.7001451,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,41
002,B,1,1,1,0,27651.7001642,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,42
001,A,1,1,1,1,27651.7509889,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,43
002,B,1,1,1,0,27651.7510141,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,44
001,A,1,1,1,1,27651.8001209,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,45
002,B,1,1,1,0,27651.8001395,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,46
001,A,1,1,1,1,27651.850129,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,47
002,B,1,1,1,0,27651.8501471,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,48
001,A,1,1,1,1,27651.8999244,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,49
002,B,1,1,1,0,27651.8999434,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,50
001,A,1,1,1,1,27651.9504297,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,51
002,B,1,1,1,0,27651.9504483,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,52
001,A,1,1,1,1,27652.0001725,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,53
002,B,1,1,1,0,27652.0001916,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,54
001,A,1,1,1,1,27652.0501834,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,55
002,B,1,1,1,0,27652.0502032,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,56
001,A,1,1,1,1,27652.0977047,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,57
002,B,1,1,1,0,27652.0977234,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,58
001,A,1,1,1,1,27652.1482775,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,59
002,B,1,1,1,0,27652.148299,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,60
001,A,1,1,1,1,27652.1979501,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,61
002,B,1,1,1,0,27652.1979669,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,62
001,A,1,1,1,1,27652.2487675,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,63
002,B,1,1,1,0,27652.2487907,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,64
001,A,1,1,1,1,27652.2984689,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,65
002,B,1,1,1,0,27652.2984953,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,66
001,A,1,1,1,1,27652.3479581,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,67
002,B,1,1,1,0,27652.3479756,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,68
001,A,1,1,1,1,27652.3978906,-1.8667691349983215,0.9071959257125854,-336.0184442996979,-163.29526662826538,69
002,B,1,1,1,0,27652.3979149,-0.6221721371014913,1.8527145385742188,-111.99098467826843,-333.4886169433594,70
